Mobility Region,Covid Region,,,,,Mobility Region,Covid Region
Afghanistan,Afghanistan,,,,,Afghanistan,Afghanistan
,Albania,,,,,Angola,Albania
,Algeria,,,,,Antigua and Barbuda,Algeria
,Andorra,,,,,Argentina,Andorra
Angola,Angola,,,,,Aruba,Angola
Antigua and Barbuda,Antigua and Barbuda,,,,,Australia,Antigua and Barbuda
Argentina,Argentina,,,,,Austria,Argentina
,Armenia,,,,,Bahrain,Armenia
Aruba,,,,,,Bangladesh,Australia
Australia,Australia,,,,,Barbados,Austria
Austria,Austria,,,,,Belarus,Azerbaijan
,Azerbaijan,,,,,Belgium,Bahamas
,Bahamas,,,,,Belize,Bahrain
Bahrain,Bahrain,,,,,Benin,Bangladesh
Bangladesh,Bangladesh,,,,,Bolivia,Barbados
Barbados,Barbados,,,,,Bosnia and Herzegovina,Belarus
Belarus,Belarus,,,,,Botswana,Belgium
Belgium,Belgium,,,,,Brazil,Belize
Belize,Belize,,,,,Bulgaria,Benin
Benin,Benin,,,,,Burkina Faso,Bhutan
,Bhutan,,,,,Côte d'Ivoire,Bolivia
Bolivia,Bolivia,,,,,Cambodia,Bosnia and Herzegovina
Bosnia and Herzegovina,Bosnia and Herzegovina,,,,,Cameroon,Botswana
Botswana,Botswana,,,,,Canada,Brazil
Brazil,Brazil,,,,,Cape Verde,Brunei
,Brunei,,,,,Chile,Bulgaria
Bulgaria,Bulgaria,,,,,Colombia,Burkina Faso
Burkina Faso,Burkina Faso,,,,,Costa Rica,Burma
,Burma,,,,,Croatia,Burundi
,Burundi,,,,,Czechia,Cabo Verde
,Cabo Verde,,,,,Denmark,Cambodia
Cambodia,Cambodia,,,,,Dominican Republic,Cameroon
Cameroon,Cameroon,,,,,Ecuador,Canada
Canada,Canada,,,,,Egypt,Central African Republic
Cape Verde,,,,,,El Salvador,Chad
,Central African Republic,,,,,Estonia,Chile
,Chad,,,,,Fiji,China
Chile,Chile,,,,,Finland,Colombia
,China,,,,,France,Comoros
Colombia,Colombia,,,,,Gabon,Congo
,Comoros,,,,,Georgia,Costa Rica
,Congo,,,,,Germany,Cote d'Ivoire
Costa Rica,Costa Rica,,,,,Ghana,Croatia
Côte d'Ivoire,Cote d'Ivoire,,,,,Greece,Cuba
Croatia,Croatia,,,,,Guatemala,Cyprus
,Diamond Princess,,,,,Guinea-Bissau,Czechia
,Cuba,,,,,Haiti,Denmark
,Cyprus,,,,,Honduras,Diamond Princess
Czechia,Czechia,,,,,Hong Kong,Djibouti
Denmark,Denmark,,,,,Hungary,Dominica
,Djibouti,,,,,India,Dominican Republic
,Dominica,,,,,Indonesia,Ecuador
Dominican Republic,Dominican Republic,,,,,Iraq,Egypt
Ecuador,Ecuador,,,,,Ireland,El Salvador
Egypt,Egypt,,,,,Israel,Equatorial Guinea
El Salvador,El Salvador,,,,,Italy,Eritrea
,Equatorial Guinea,,,,,Jamaica,Estonia
,Eritrea,,,,,Japan,Eswatini
Estonia,Estonia,,,,,Jordan,Ethiopia
,Eswatini,,,,,Kazakhstan,Fiji
,Ethiopia,,,,,Kenya,Finland
Fiji,Fiji,,,,,Kuwait,France
Finland,Finland,,,,,Kyrgyzstan,Gabon
France,France,,,,,Laos,Gambia
Gabon,Gabon,,,,,Latvia,Georgia
,Gambia,,,,,Lebanon,Germany
Georgia,Georgia,,,,,Libya,Ghana
Germany,Germany,,,,,Liechtenstein,Greece
Ghana,Ghana,,,,,Lithuania,Grenada
Greece,Greece,,,,,Luxembourg,Guatemala
,Grenada,,,,,Malaysia,Guinea
Guatemala,Guatemala,,,,,Mali,Guinea-Bissau
Guinea-Bissau,Guinea-Bissau,,,,,Malta,Guyana
,Guinea,,,,,Mauritius,Haiti
,Guyana,,,,,Mexico,Holy See
Haiti,Haiti,,,,,Moldova,Honduras
,Holy See,,,,,Mongolia,Hungary
Honduras,Honduras,,,,,Morocco,Iceland
Hong Kong,,,,,,Mozambique,India
Hungary,Hungary,,,,,Myanmar (Burma),Indonesia
,Iceland,,,,,Namibia,Iran
India,India,,,,,Nepal,Iraq
Indonesia,Indonesia,,,,,Netherlands,Ireland
,Iran,,,,,New Zealand,Israel
Iraq,Iraq,,,,,Nicaragua,Italy
Ireland,Ireland,,,,,Niger,Jamaica
Israel,Israel,,,,,Nigeria,Japan
Italy,Italy,,,,,North Macedonia,Jordan
Jamaica,Jamaica,,,,,Norway,Kazakhstan
Japan,Japan,,,,,Oman,Kenya
Jordan,Jordan,,,,,Pakistan,"Korea, South"
Kazakhstan,Kazakhstan,,,,,Panama,Kosovo
Kenya,Kenya,,,,,Papua New Guinea,Kuwait
,"Korea, South",,,,,Paraguay,Kyrgyzstan
,Kosovo,,,,,Peru,Laos
Kuwait,Kuwait,,,,,Philippines,Latvia
Kyrgyzstan,Kyrgyzstan,,,,,Poland,Lebanon
Laos,Laos,,,,,Portugal,Lesotho
Latvia,Latvia,,,,,Puerto Rico,Liberia
Lebanon,Lebanon,,,,,Qatar,Libya
,Lesotho,,,,,Réunion,Liechtenstein
,Liberia,,,,,Romania,Lithuania
Libya,Libya,,,,,Russia,Luxembourg
Liechtenstein,Liechtenstein,,,,,Rwanda,Madagascar
Lithuania,Lithuania,,,,,Saudi Arabia,Malawi
Luxembourg,Luxembourg,,,,,Senegal,Malaysia
,Madagascar,,,,,Serbia,Maldives
,Malawi,,,,,Singapore,Mali
Malaysia,Malaysia,,,,,Slovakia,Malta
,Maldives,,,,,Slovenia,Mauritania
Mali,Mali,,,,,South Africa,Mauritius
Malta,Malta,,,,,South Korea,Mexico
,Mauritania,,,,,Spain,Moldova
Mauritius,Mauritius,,,,,Sri Lanka,Monaco
Mexico,Mexico,,,,,Sweden,Mongolia
Moldova,Moldova,,,,,Switzerland,Montenegro
,Monaco,,,,,Taiwan,Morocco
Mongolia,Mongolia,,,,,Tajikistan,Mozambique
,Montenegro,,,,,Tanzania,MS Zaandam (cruise ship Holland America)
Morocco,Morocco,,,,,Thailand,Namibia
Mozambique,Mozambique,,,,,The Bahamas,Nepal
Myanmar (Burma),,,,,,Togo,Netherlands
Namibia,Namibia,,,,,Trinidad and Tobago,New Zealand
Nepal,Nepal,,,,,Turkey,Nicaragua
Netherlands,Netherlands,,,,,Uganda,Niger
New Zealand,New Zealand,,,,,Ukraine,Nigeria
Nicaragua,Nicaragua,,,,,United Arab Emirates,North Macedonia
Niger,Niger,,,,,United Kingdom,Norway
Nigeria,Nigeria,,,,,United States,Oman
North Macedonia,North Macedonia,,,,,Uruguay,Pakistan
Norway,Norway,,,,,Venezuela,Panama
Oman,Oman,,,,,Vietnam,Papua New Guinea
Pakistan,Pakistan,,,,,Yemen,Paraguay
Panama,Panama,,,,,Zambia,Peru
Papua New Guinea,Papua New Guinea,,,,,Zimbabwe,Philippines
Paraguay,Paraguay,,,,,,Poland
Peru,Peru,,,,,,Portugal
Philippines,Philippines,,,,,,Qatar
Poland,Poland,,,,,,Romania
Portugal,Portugal,,,,,,Russia
Puerto Rico,,,,,,,Rwanda
Qatar,Qatar,,,,,,Saint Kitts and Nevis (Britain)
Réunion,,,,,,,Saint Lucia
Romania,Romania,,,,,,Saint Vincent and the Grenadines
Russia,Russia,,,,,,San Marino
Rwanda,Rwanda,,,,,,Sao Tome and Principe
,Saint Lucia,,,,,,Saudi Arabia
,Saint Vincent and the Grenadines,,,,,,Senegal
,San Marino,,,,,,Serbia
,Sao Tome and Principe,,,,,,Seychelles
Saudi Arabia,Saudi Arabia,,,,,,Sierra Leone
Senegal,Senegal,,,,,,Singapore
Serbia,Serbia,,,,,,Slovakia
,Seychelles,,,,,,Slovenia
,Sierra Leone,,,,,,Somalia
Singapore,Singapore,,,,,,South Africa
Slovakia,Slovakia,,,,,,South Sudan
Slovenia,Slovenia,,,,,,Spain
,Somalia,,,,,,Sri Lanka
South Africa,South Africa,,,,,,Sudan
South Korea,,,,,,,Suriname
,South Sudan,,,,,,Sweden
Spain,Spain,,,,,,Switzerland
Sri Lanka,Sri Lanka,,,,,,Syria
,Sudan,,,,,,Taiwan*
,Suriname,,,,,,Tajikistan
Sweden,Sweden,,,,,,Tanzania
Switzerland,Switzerland,,,,,,Thailand
,Syria,,,,,,Timor-Leste
Taiwan,Taiwan*,,,,,,Togo
Tajikistan,Tajikistan,,,,,,Trinidad and Tobago
Tanzania,Tanzania,,,,,,Tunisia
Thailand,Thailand,,,,,,Turkey
The Bahamas,,,,,,,Uganda
,Timor-Leste,,,,,,Ukraine
Togo,Togo,,,,,,United Arab Emirates
Trinidad and Tobago,Trinidad and Tobago,,,,,,United Kingdom
,Tunisia,,,,,,Uruguay
Turkey,Turkey,,,,,,US
Uganda,Uganda,,,,,,Uzbekistan
Ukraine,Ukraine,,,,,,Venezuela
United Arab Emirates,United Arab Emirates,,,,,,Vietnam
United Kingdom,United Kingdom,,,,,,West Bank and Gaza (Palestine)
Uruguay,Uruguay,,,,,,Western Sahara (disputed 80% Morocco)
United States,US,,,,,,Yemen
,Uzbekistan,,,,,,Zambia
Venezuela,Venezuela,,,,,,Zimbabwe
,West Bank and Gaza (Palestine),,,,,,
Vietnam,Vietnam,,,,,,
,Western Sahara (disputed 80% Morocco),,,,,,
Yemen,Yemen,,,,,,
Zambia,Zambia,,,,,,
Zimbabwe,Zimbabwe,,,,,,
,MS Zaandam (cruise ship Holland America),,,,,,
,Saint Kitts and Nevis (Britain),,,,,,
